page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   2    74 image     602   183  icc     3   8  jpeg   no       264  0   150   150 17.2K 5.3%
   2    75 smask     602   183  gray    1   8  jpeg   no       264  0   150   150 15.0K  14%
   2    76 image     602   183  icc     3   8  jpeg   no       264  0   150   150 17.2K 5.3%
   2    77 smask     602   183  gray    1   8  jpeg   no       264  0   150   150 15.0K  14%
   2    78 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    79 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    80 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    81 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    82 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    83 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    84 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    85 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    86 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    87 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    88 image       1     1  rgb     3   8  image  no       295  0 0.337     2    3B 100%
   2    89 smask     445    72  gray    1   8  jpeg   no       295  0   150   150 1225B 3.8%
   3    90 image    1318  1018  icc     3   8  jpeg   no       363  0   120   120  108K 2.7%
   3    91 image    1647  1275  icc     3   8  jpeg   no       365  0   150   150  539B 0.0%
   3    92 image    1570   377  icc     3   8  jpeg   no       373  0   150   150 18.5K 1.1%
   3    93 smask    1570   377  gray    1   8  jpeg   no       373  0   150   150 19.6K 3.4%
   3    94 image     411   411  icc     3   8  jpeg   no       379  0   150   150 4273B 0.8%
   3    95 smask     411   411  gray    1   8  image  no       379  0   150   150 3748B 2.2%
   3    96 image    1388     8  icc     3   8  image  no       386  0   150   154   64B 0.2%
   3    97 smask    1388     8  gray    1   8  image  no       386  0   150   154   40B 0.4%
   4    98 image    1635  1621  icc     3   8  jpeg   no       393  0   118   118  312K 4.0%
   4    99 image    1650  1248  icc     3   8  jpeg   no       399  0   150   150  723B 0.0%
   4   100 smask    1650  1248  gray    1   8  jpeg   no       399  0   150   150  810B 0.0%
   4   101 image    1456    94  icc     3   8  jpeg   no       404  0   132   132 7291B 1.8%
   4   102 image     411   411  icc     3   8  jpeg   no       379  0   186   186 4273B 0.8%
   4   103 smask     411   411  gray    1   8  image  no       379  0   186   186 3748B 2.2%
   4   104 image     728   212  icc     3   8  jpeg   no       409  0   150   150 8041B 1.7%
   4   105 smask     728   212  gray    1   8  jpeg   no       409  0   150   150 8094B 5.2%
   5   106 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   107 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   108 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   109 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   110 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   111 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   112 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   113 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   114 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   115 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   116 image     111    52  icc     3   8  image  no       422  0   150   151  121B 0.7%
   5   117 mask      219   103  -       1   1  image  no       422  0   296   300   36B 1.3%
   5   118 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
   5   119 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
   5   120 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   5   121 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   5   122 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   5   123 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   5   124 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
   5   125 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
   5   126 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
   5   127 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
   5   128 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
   5   129 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
   5   130 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
   5   131 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
   5   132 image      72    72  icc     3   8  jpeg   no       452  0   203   203 1362B 8.8%
   5   133 smask      72    72  gray    1   8  image  no       452  0   203   203  602B  12%
   5   134 image    1670  1173  icc     3   8  jpeg   no       458  0   150   150 23.2K 0.4%
   5   135 smask    1670  1173  gray    1   8  jpeg   no       458  0   150   150 22.8K 1.2%
   5   136 image     422   562  icc     3   8  jpeg   no       495  0   150   150 7096B 1.0%
   5   137 smask     422   562  gray    1   8  jpeg   no       495  0   150   150 3755B 1.6%
   5   138 image     422   562  icc     3   8  jpeg   no       495  0   150   150 7096B 1.0%
   5   139 smask     422   562  gray    1   8  jpeg   no       495  0   150   150 3755B 1.6%
   5   140 image     420   561  icc     3   8  jpeg   no       501  0   150   150 9922B 1.4%
   5   141 smask     420   561  gray    1   8  jpeg   no       501  0   150   150 5331B 2.3%
   5   142 image     420   561  icc     3   8  jpeg   no       501  0   150   150 9922B 1.4%
   5   143 smask     420   561  gray    1   8  jpeg   no       501  0   150   150 5331B 2.3%
   5   144 image     360   480  icc     3   8  jpeg   no       507  0   149   149 5374B 1.0%
   5   145 smask     360   480  gray    1   8  jpeg   no       507  0   149   149 3004B 1.7%
   5   146 image     360   480  icc     3   8  jpeg   no       507  0   149   149 5374B 1.0%
   5   147 smask     360   480  gray    1   8  jpeg   no       507  0   149   149 3004B 1.7%
   5   148 image     386   516  icc     3   8  jpeg   no       513  0   150   150 6470B 1.1%
   5   149 smask     386   516  gray    1   8  jpeg   no       513  0   150   150 3388B 1.7%
   5   150 image     386   516  icc     3   8  jpeg   no       513  0   150   150 6470B 1.1%
   5   151 smask     386   516  gray    1   8  jpeg   no       513  0   150   150 3388B 1.7%
   5   152 image     475   634  icc     3   8  jpeg   no       519  0   150   150 6416B 0.7%
   5   153 smask     475   634  gray    1   8  jpeg   no       519  0   150   150 3189B 1.1%
   5   154 image     475   634  icc     3   8  jpeg   no       519  0   150   150 6416B 0.7%
   5   155 smask     475   634  gray    1   8  jpeg   no       519  0   150   150 3189B 1.1%
   5   156 image     378   503  icc     3   8  jpeg   no       525  0   150   150 5382B 0.9%
   5   157 smask     378   503  gray    1   8  jpeg   no       525  0   150   150 3337B 1.8%
   5   158 image     378   503  icc     3   8  jpeg   no       525  0   150   150 5382B 0.9%
   5   159 smask     378   503  gray    1   8  jpeg   no       525  0   150   150 3337B 1.8%
   6   160 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
   6   161 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
   6   162 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
   6   163 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
   6   164 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
   6   165 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
   6   166 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
   6   167 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
   6   168 image      72    72  icc     3   8  jpeg   no       452  0   203   203 1362B 8.8%
   6   169 smask      72    72  gray    1   8  image  no       452  0   203   203  602B  12%
   6   170 image    1670  1173  icc     3   8  jpeg   no       532  0   150   150 16.2K 0.3%
   6   171 smask    1670  1173  gray    1   8  jpeg   no       532  0   150   150 15.0K 0.8%
   6   172 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
   6   173 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
