Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page16_img10.jpg: 122x64
page16_img11.jpg: 423x564
page17_img1.jpg: 53x53
page17_img2.jpg: 53x53
page17_img3.jpg: 53x53
page17_img4.jpg: 53x53
page17_img5.jpg: 72x72
page17_img6.jpg: 1670x1173
page17_img7.jpg: 1166x303
page17_img8.jpg: 134x17
page17_img9.jpg: 134x17
page17_img10.jpg: 430x573
page17_img11.jpg: 420x559
page17_img12.jpg: 470x627
page17_img13.jpg: 480x640
page17_img14.jpg: 480x640
page18_img1.jpg: 1670x1173
page18_img2.jpg: 53x53
page18_img3.jpg: 53x53
page18_img4.jpg: 53x53
page18_img5.jpg: 53x53
page18_img6.jpg: 72x72
page18_img7.jpg: 1670x1173
page18_img8.jpg: 1166x303
page18_img9.jpg: 134x17
page18_img10.jpg: 66x66
page18_img11.jpg: 134x17
page18_img12.jpg: 887x887
page18_img13.jpg: 480x640
page18_img14.jpg: 389x519
page18_img15.jpg: 473x631
page19_img1.jpg: 1166x303
page19_img2.jpg: 134x17
page19_img3.jpg: 134x17
page19_img4.jpg: 400x400
page19_img5.jpg: 356x356
page19_img6.jpg: 339x339
page19_img7.jpg: 300x300
page19_img8.jpg: 1670x1173
page19_img9.jpg: 356x356
page19_img10.jpg: 72x72
page19_img11.jpg: 53x53
page19_img12.jpg: 53x53
page19_img13.jpg: 53x53
page19_img14.jpg: 53x53
page20_img1.jpg: 53x53
page20_img2.jpg: 53x53
page20_img3.jpg: 53x53
page20_img4.jpg: 53x53
page20_img5.jpg: 72x72
page20_img6.jpg: 1670x1173
page20_img7.jpg: 1166x303
page20_img8.jpg: 134x17
page20_img9.jpg: 134x17
page20_img10.jpg: 181x291
page20_img11.jpg: 134x263
page20_img12.jpg: 140x280
page20_img13.jpg: 144x339
page20_img14.jpg: 138x293
page21_img1.jpg: 53x53
page21_img2.jpg: 53x53
page21_img3.jpg: 53x53
page21_img4.jpg: 53x53
page21_img5.jpg: 72x72
page21_img6.jpg: 1670x1173
page21_img7.jpg: 1166x303
page21_img8.jpg: 184x307
page21_img9.jpg: 175x281
page21_img10.jpg: 154x304
page21_img11.jpg: 206x312
page21_img12.jpg: 155x321
page21_img13.jpg: 246x330
page21_img14.jpg: 132x283
page21_img15.jpg: 168x322
page21_img16.jpg: 200x312
page22_img1.jpg: 53x53
page22_img2.jpg: 53x53
page22_img3.jpg: 53x53
page22_img4.jpg: 53x53
page22_img5.jpg: 72x72
page22_img6.jpg: 1670x1173
page22_img7.jpg: 1166x303
page22_img8.jpg: 174x285
page23_img1.jpg: 134x17
page23_img2.jpg: 1672x439
page23_img3.jpg: 53x53
page23_img4.jpg: 53x53
page23_img5.jpg: 72x72
page23_img6.jpg: 1670x1173
page23_img7.jpg: 756x756
page23_img8.jpg: 756x756
page23_img9.jpg: 840x840
page23_img10.jpg: 633x356
page23_img11.jpg: 507x285
page24_img1.jpg: 1281x990
page24_img2.jpg: 1456x94
page24_img3.jpg: 411x411
page24_img4.jpg: 956x216
page24_img5.jpg: 1650x1248
page25_img1.jpg: 1166x303
page25_img2.jpg: 1670x1173
page25_img3.jpg: 1155x893
page25_img4.jpg: 67x67
page25_img5.jpg: 67x67
page25_img6.jpg: 67x67
page25_img7.jpg: 67x67
page25_img8.jpg: 67x67
page25_img9.jpg: 52x52
page25_img10.jpg: 52x52
page25_img11.jpg: 52x52
page25_img12.jpg: 52x52
page25_img13.jpg: 52x52
page25_img14.jpg: 67x67
page26_img1.jpg: 1166x303
page26_img2.jpg: 1670x1173
page26_img3.jpg: 1155x893
page26_img4.jpg: 67x67
page26_img5.jpg: 67x67
page26_img6.jpg: 67x67
page26_img7.jpg: 67x67
page26_img8.jpg: 67x67
page26_img9.jpg: 52x52
page26_img10.jpg: 52x52
page26_img11.jpg: 52x52
